#M	#F	#H	%M	%F	%H
51903486	293208405	879347021	4.2388916027588195	23.945957036735585	71.8151513605056
87822998	504964806	1460828866	4.276503949493164	24.589048841330257	71.13444720917659
156274891	905966566	2516465388	4.3667977783187215	25.31547302528492	70.31772919639636
282720338	1634604088	4425583189	4.457267158225826	25.77058010642332	69.77215273535086
503737106	2884586626	7773881913	4.512881432404392	25.842442952053318	69.64467561554228
867943538	4913123424	13417325988	4.520917663579753	25.591326507357483	69.88775582906277
1441020366	8077866908	22589793291	4.487946376628074	25.157891155469223	70.35416246790271
2324104081	12962990239	37189328360	4.428853878192751	24.70250367112105	70.8686424506862
3705993916	20701107250	60459457878	4.366848329597747	24.392537512057352	71.2406141583449
5972466494	33612859103	98452013823	4.326703571001064	24.35055561359935	71.32274081539958
9897563059	56256725596	162655607348	4.325670887447206	24.58666630190785	71.08766281064494
16921283120	96889260588	274232615138	4.360670387882146	24.968681544635032	70.67064806748283
29503594880	169255946265	470018079811	4.411570297137842	25.30825508530819	70.28017461755397
51526521168	294652226805	810585498127	4.454366682037442	25.47210702599187	70.07352629197068
88795137850	504685505496	1391098111264	4.474256193851556	25.430359179430923	70.09538462671752
149881417560	846469387378	2358396989339	4.467740252059746	25.23198282809892	70.30027691984134
248040929049	1394635870042	3942871682662	4.440762261026037	24.968646760439533	70.59059097853444
405613576528	2278287068595	6523805058606	4.405153570055262	24.74326549850875	70.85158093143599
663201316410	3734944425503	10759177428353	4.375451449837771	24.641187520695016	70.98336102946722
1096466682350	6205728206515	17826473856318	4.363409353152405	24.695809672387032	70.94078097446057
1843538066803	10485499409092	29831316608584	4.372681650417362	24.870520271441823	70.75679807814082
3145366019246	17939320998595	50451670471043	4.39687751747041	25.07720777002461	70.52591471250499
5401720601081	30801480021159	85899215067630	4.423926071045901	25.2259382806907	70.3501356482634
9249444179614	52604272774336	146344661255755	4.4426110612147145	25.266418128075454	70.29097081070984
15684414718773	88876754056334	248130775418016	4.447057829646574	25.1995418437082	70.35340032664523
26281485169219	148448590880213	417524228986886	4.437533833984943	25.065008327986725	70.49745783802834
43626423714381	246020875682715	697538412439517	4.419272198866825	24.921438056979635	70.65928974415354
72158508991152	407107238597663	1160634719768086	4.400176134314603	24.825118761860924	70.77470510382447
119724526576287	676943144950774	1931827238793167	4.387932926810393	24.81013039057951	70.8019366826101
200241289752464	1135422772509480	3228875228837631	4.386889387564607	24.87486031116981	70.73825030126558
337958366228458	1920615979458640	5428793958064763	4.396281703629519	24.984050504270403	70.61966779210007
573960961845355	3264410228746464	9173730153624557	4.410978262941899	25.087494651257312	70.50152708580079
975982134667656	5546669141071073	15536623012253878	4.424361934693865	25.144386296018173	70.43125176928797
1653742162224153	9381573188736635	26283835596683331	4.431349910785015	25.138763745987298	70.4298863432277
2784650008793675	15765385923971502	44307503126901015	4.430097090104665	25.081137696158518	70.48876521373681
4659653750482602	26343071541715712	74369199408611001	4.422101773041651	25.00008575957366	70.57781246738469
7767146579782028	43895385475992713	124414413065403468	4.411222931222817	24.92966097621889	70.65911609255829
12944423686891215	73209252100232552	207901133517264495	4.402044543162669	24.896464803080516	70.70149065375682
21641283454467399	122572725399380345	347849790791224404	4.39806453351727	24.909925397436798	70.69201006904593
36359594054187046	206238879699103644	583693860753577230	4.40033055321595	24.95955379063116	70.64011565615289
61360950089830912	348365288144265793	982562102557357331	4.407201316858686	25.021059067853404	70.57173961528791
103786812345757113	589252611788063460	1657554594439531991	4.415344016264812	25.068242628546248	70.51641335518894
175445940693738489	995376957576309418	2797320103448736789	4.421361342515751	25.084200774648647	70.4944378828356
295753039282807057	1676073087649546182	4714634087926623206	4.423163075517451	25.066672556054325	70.51016436842822
496741542408054526	2812257004128821145	7928046843074060606	4.420570756680492	25.02665875790496	70.55277048541454
831835355135539008	4706846901351613859	13301941423865215985	4.4151158117074685	24.982436787695466	70.60244740059706
1391273509496827582	7873162232974172546	22288977008241076718	4.409264761592009	24.951856381356073	70.63887885705192
2328872053930309180	13187274071282721157	37348109082907211376	4.405381376814671	24.945540269821265	70.64907835336406
3907395576826026222	22144382417925697124	62655897933788399211	4.404799850661955	24.963321590979856	70.6318785583582
6573704432573870305	37281091576957400972	105297559402524168377	4.407375541883358	24.995308638581584	70.59731581953505
11081307253996258586	62862794767816865524	177235815736185302877	4.411701123603617	25.026998706314806	70.56130017008158
18689733380432808543	106004639655319318998	298548727659334679665	4.415838875988503	25.04580452256144	70.53835660145006
31492467338308885901	178525445926415270101	502775618055406807093	4.418175243535556	25.045884689185772	70.53594006727867
52966682380172593935	300073879553338472412	845839802080612347560	4.418012336345899	25.029509912784214	70.55247775086988
88911413740129368409	503483141396014954032	1421128244550352771716	4.41571427718488	25.005087673921878	70.57919804889325
149063393807364105899	843995697398557710630	2385198122600186163685	4.4124347074041195	24.983168657180823	70.60439663541506
249874763845109812371	1415078568987930971472	4001677616211382536928	4.409582450172563	24.972132148936907	70.61828540089053
419238931525275819789	2375219982570645712623	6715883552779515592825	4.408242216150331	24.975125668119176	70.6166321157305
704421996807315452072	3992729193689985851444	11280576277695113533172	4.4087746408845705	24.989343457250055	70.60188190186538
1185221642609851499075	6719899631123336501416	18966096758605479268264	4.410747742002147	25.007796903869963	70.5814553541279
1995682987335987098091	11315417368995610859056	31909632754227327728210	4.413203524270155	25.022631414070307	70.56416506165954
3360023259658612014779	19047321751538813078566	53695490319360167544570	4.415109167830782	25.028399623753224	70.55649120841599
5652575259546596865723	32032768336640226600376	90323248173193878573579	4.415778020377127	25.023920577417346	70.56030140220552
9498873219683815026436	53812580256364306195510	151833942880715834981432	4.415094805901562	25.012192297682176	70.57271289641626
15947474023801947025084	90329012485080000402602	255058363055874957258395	4.413489051225298	24.99869929343519	70.58781165533951
